total_time,level,sample_size,cov_prob,cov_prob_se,int_width,int_width_se
8.393699999999999,0.95,20,0.9441,0.002297400009724138,4.147158952016811,0.006966346047286868
8.393699999999999,0.95,30,0.9389,0.0023952562963642384,4.078163542000027,0.005465760181735233
8.393699999999999,0.95,50,0.9451,0.002277963544877569,4.00622946285856,0.004160684693505703
8.393699999999999,0.95,100,0.9487,0.002206199839491694,3.9630544200580067,0.002865731242963237
8.393699999999999,0.95,250,0.9448,0.002283816450978094,3.938590576811163,0.0017535550416607048
8.393699999999999,0.95,500,0.9513,0.0021525088453785606,3.928583252287609,0.0012279912725555622
8.393699999999999,0.95,1e3,0.9469,0.0022424410480958957,3.924277454880776,8.787408917540821e-4
8.393699999999999,0.95,2e3,0.9526,0.002125035429718233,3.9212943813226233,6.18905749435075e-4
