total_time,level,sample_size,cov_prob,cov_prob_se,int_width,int_width_se
8.448949999999998,0.95,20,0.94,0.023868325657594204,28.99,0.08102250591438445
8.448949999999998,0.95,30,0.97,0.01714466079977653,28.84,0.08729376850727674
8.448949999999998,0.95,50,0.96,0.019694638556693237,28.77,0.07895146188218008
8.448949999999998,0.95,100,0.94,0.023868325657594204,28.89,0.0680092091209163
8.448949999999998,0.95,250,0.98,0.014070529413628968,28.96,0.0751026233922893
8.448949999999998,0.95,500,0.92,0.027265992434429075,28.8,0.0752101433090355
8.448949999999998,0.95,1e3,0.95,0.021904291355759033,28.94,0.07360829992726241
8.448949999999998,0.95,2e3,0.99,0.01,28.88,0.072863508761868645
