total_time,level,sample_size,cov_prob,cov_prob_se,int_width,int_width_se
657.6764833333333,0.95,100,0.9466,0.002248410446282772,343.8713544383793,0.3424111142020333
657.6764833333333,0.95,250,0.9492,0.0021960005104334976,339.1537206336771,0.2634857254332078
657.6764833333333,0.95,500,0.9468,0.002244433057138216,348.9826255172404,0.16399416457919228
657.6764833333333,0.95,1e3,0.9496,0.0021877985844827273,342.02878455224925,0.13473647000604444
657.6764833333333,0.95,2e3,0.9463,0.002254360045316939,346.6101200209345,0.11216057525764798
