sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp,scale
20,0.8458,0.005107806763963139,1474.8490495661756,22.9921090140443,0.8566,0.0049570356505161525,1639.5094371517175,26.182959159044525,5e3,0.3,2
30,0.8574,0.004945496900000806,1472.452428013502,17.232742190022208,0.863,0.00486322220200118,1577.486930082613,19.05364348870469,5e3,0.3,2
50,0.8718,0.004728363721700874,1473.801455455807,13.13312618502644,0.8776,0.004635509204943705,1528.9074846745846,14.000885446598911,5e3,0.3,2
100,0.8818,0.0045661714799596475,1486.6457938645674,8.857822799763495,0.884,0.0045291171965976,1511.6663966076653,9.264115754141843,5e3,0.3,2
250,0.9086,0.00407584721329213,1455.1435573511508,5.333891070934476,0.91,0.004047626051814948,1465.9525752172824,5.7590993562212605,5e3,0.3,2
500,0.8984,0.0042730714747082794,1461.5287328989516,3.7992278749227446,0.901,0.004224141175876435,1463.9995245742653,4.272257064136152,5e3,0.3,2
1e3,0.8942,0.004350293899428207,1464.1402888666462,2.6462453853909507,0.894,0.0043539167789777115,1466.694513028296,3.3237764391071347,5e3,0.3,2
2e3,0.8996,0.004250597783406854,1464.1542319220327,1.8740598200831367,0.8984,0.0042730714747082794,1464.3829007866534,2.753614215900505,5e3,0.3,2
