sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,p,censoredp,scale
20,0.8762,0.004658224104780927,17.987325107558632,0.06738434811931265,5e3,0.5,0.3,0.25
30,0.8824,0.004556116728084124,16.013144352255267,0.04899797007526997,5e3,0.5,0.3,0.25
50,0.8804,0.004589485883640478,13.096312239312002,0.030333628489746637,5e3,0.5,0.3,0.25
100,0.8918,0.004393451090258829,9.691005378234555,0.01559694975970717,5e3,0.5,0.3,0.25
250,0.8968,0.004302749670959977,6.289927937048339,0.006436035353070254,5e3,0.5,0.3,0.25
500,0.8966,0.004306436703286823,4.485018898968039,0.003243244668338027,5e3,0.5,0.3,0.25
1e3,0.8966,0.004306436703286823,3.1860766933832663,0.001611452620959118,5e3,0.5,0.3,0.25
2e3,0.9064,0.004119611904105542,2.2568599671042913,8.087771720915751e-4,5e3,0.5,0.3,0.25
