sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp,scale
20,0.8374,0.00521897456777745,70.23844486277827,0.31481334829429264,0.8482,0.0050750865313470405,73.21726465778077,0.3321835341445591,5e3,0.3,0.25
30,0.8652,0.004830161290435167,76.78683690471554,0.2752978006752007,0.8726,0.004715749745176458,78.96475986535168,0.28544228915865905,5e3,0.3,0.25
50,0.8832,0.004542651113152667,81.23341291236494,0.22191673498861234,0.888,0.004460401219151385,82.58737598286886,0.22975257004296504,5e3,0.3,0.25
100,0.8886,0.004449940268551785,84.33648622767443,0.1603150676781509,0.8906,0.004414773611999719,85.01514380197683,0.16716643861476327,5e3,0.3,0.25
250,0.8912,0.004404133431023139,86.58657391174116,0.10480228620725665,0.8914,0.004400577350326119,86.77838050078657,0.11340039666179724,5e3,0.3,0.25
500,0.9006,0.004231726539120927,87.14764356072308,0.0736695196260973,0.9008,0.004227936504894306,87.25921957988476,0.0843306357892344,5e3,0.3,0.25
1e3,0.8998,0.004246834011334085,87.51605927891816,0.05293823658144103,0.8996,0.004250597783406854,87.49232548677416,0.06684568682332231,5e3,0.3,0.25
2e3,0.9,0.004243065014838216,87.73362330777714,0.037262434376133254,0.8988,0.004265600903766553,87.6492276087697,0.05648815214540071,5e3,0.3,0.25
