sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,p,censoredp
20,0.9168,0.00390622627618321,61.53659206620218,0.4654851872429684,5e3,0.5,0.5
30,0.9112,0.004023201365808822,48.49949269216776,0.2911431626825243,5e3,0.5,0.5
50,0.916,0.003923248446845437,37.12612795231763,0.1707025004409672,5e3,0.5,0.5
100,0.8992,0.0042581097096786895,25.772312556802646,0.08507209192179845,5e3,0.5,0.5
250,0.9002,0.00423929077998472,16.085522930998714,0.0336843924606784,5e3,0.5,0.5
500,0.8986,0.004269338760357409,11.298186383909231,0.016863737400627986,5e3,0.5,0.5
1e3,0.8972,0.004295360523216285,7.971756198185206,0.008390869661620613,5e3,0.5,0.5
2e3,0.905,0.004147100154076049,5.6425040436284,0.004126873441769567,5e3,0.5,0.5
