sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp,scale
20,0.8376,0.005216386693682477,2038.2802186520416,56.797858502289564,0.8566,0.0049570356505161525,2426.0953827682006,71.07377367502414,5e3,0.5,2
30,0.8524,0.005016760067644781,1810.933872517667,30.94709479642958,0.8628,0.00486620673559999,2032.1400451555194,35.87380191087208,5e3,0.5,2
50,0.8756,0.0046678995123257995,1667.3632831555608,21.031359366015412,0.8804,0.004589485883640478,1777.9188879243734,23.085631811066577,5e3,0.5,2
100,0.8898,0.004428895463092869,1555.5996305050255,12.616771063973347,0.889,0.004442943613145446,1600.3612665782446,13.249775431194706,5e3,0.5,2
250,0.8904,0.004418311022829752,1495.7159036071548,7.268596077718144,0.891,0.004407684827333667,1513.527329879031,7.7141898618833045,5e3,0.5,2
500,0.8972,0.004295360523216285,1480.9127763001331,5.260862194116832,0.8988,0.004265600903766553,1487.8929218040278,5.628186643442833,5e3,0.5,2
1e3,0.8954,0.004328454123936235,1473.3780581062495,3.5966835144362173,0.8944,0.00434666615940772,1477.0766162953312,4.102714098171071,5e3,0.5,2
2e3,0.8974,0.004291658381830183,1466.0821916884527,2.4777886798826,0.8972,0.004295360523216285,1468.5840982130946,3.1330500230486305,5e3,0.5,2
