sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,censoredp
20,0.8973,0.0030358182783661353,36.87383168350919,0.08430348183808345,1e4,0
30,0.9021,0.0029719425035192757,31.094844205001056,0.056991034735179795,1e4,0
50,0.8994,0.0030081337880634045,24.671669018418694,0.03528793896508768,1e4,0
100,0.9024,0.00296787884363278,17.671228928714974,0.017557953055227882,1e4,0
250,0.9001,0.0029988161480539255,11.294182516701527,0.0071711907853698395,1e4,0
500,0.9021,0.0029719425035192757,8.009967785529474,0.003541245589289804,1e4,0
1e3,0.9024,0.00296787884363278,5.668540106863107,0.0017747732202021685,1e4,0
2e3,0.8998,0.0030028149609606283,4.014443068509585,9.037304502725418e-4,1e4,0
