sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,p,censoredp,scale
20,0.8638,0.00485124921270643,31.33514075893139,0.15158310111090428,5e3,0.5,0.3,1
30,0.874,0.004693528080364304,27.49396474505537,0.10934417146966295,5e3,0.5,0.3,1
50,0.8822,0.004559472530671896,22.500088868207893,0.06937982797550163,5e3,0.5,0.3,1
100,0.8994,0.00425435634492245,16.54751173700254,0.03544724074193255,5e3,0.5,0.3,1
250,0.9048,0.004151004476946938,10.70652684878484,0.014954923803121904,5e3,0.5,0.3,1
500,0.895,0.004335753654435453,7.620260796426326,0.007440670750803753,5e3,0.5,0.3,1
1e3,0.9014,0.004216534576256497,5.411934164135151,0.0036971307535103195,5e3,0.5,0.3,1
2e3,0.899,0.004261857891405731,3.830690005836489,0.0018550365615547866,5e3,0.5,0.3,1
