sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.904,0.00416656597864607,0.27651402338810827,1.8703541790685208e-4,100,5e3,2,0
30,0.8986,0.004269338760357409,0.22821892065446406,1.1372252070923748e-4,100,5e3,2,0
50,0.8982,0.004276799060283333,0.17850409151100544,6.521826373845654e-5,100,5e3,2,0
100,0.908,0.004087852994962232,0.1272055251037468,3.0250597061955357e-5,100,5e3,2,0
250,0.9076,0.004095827530625786,0.08081251200728672,1.1701724664487775e-5,100,5e3,2,0
500,0.8972,0.004295360523216285,0.057239521530654355,5.933354603709418e-6,100,5e3,2,0
1e3,0.8946,0.004343033546736384,0.040507592272231725,3.003029400771269e-6,100,5e3,2,0
2e3,0.8984,0.0042730714747082794,0.028653628754633752,1.473619698900311e-6,100,5e3,2,0
