sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.9420173142742098,NA,0.6291307111373555,NA,100,5e3,1,0.5
30,0.9377875575115023,NA,0.4791881595807918,NA,100,5e3,1,0.5
50,0.9362,0.0034566315482463653,0.3416050101106148,5.709653110661261e-4,100,5e3,1,0.5
100,0.934,0.003511590274113802,0.24024819908546446,4.451678168638699e-4,100,5e3,1,0.5
250,0.9108,0.004031367309546092,0.15433733452944942,2.108539901327933e-4,100,5e3,1,0.5
500,0.8976,0.004287951178017424,0.11033814099049294,1.0837716818202543e-4,100,5e3,1,0.5
1e3,0.8986,0.004269338760357409,0.07854145730019213,5.4074941626116426e-5,100,5e3,1,0.5
2e3,0.9012,0.004220340537782582,0.05567329860011481,2.6471724532736444e-5,100,5e3,1,0.5
