sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp,scale
20,0.8772,0.004642019137006402,75.26621840946483,0.2729651714629478,0.8834,0.004539274061102761,77.23005531023138,0.28410034376002213,5e3,0,0.25
30,0.8856,0.004501841991481181,79.33912869601396,0.22896709993666778,0.8894,0.0044359287068998915,80.6953165833127,0.2373104303460873,5e3,0,0.25
50,0.9002,0.00423929077998472,82.67745731638911,0.18276712054229532,0.9026,0.004193586201933449,83.42768600217718,0.18923285151723784,5e3,0,0.25
100,0.8962,0.004313795749308647,85.33968860785069,0.1312063811188886,0.8962,0.004313795749308647,85.6872734322396,0.1376604952874861,5e3,0,0.25
250,0.897,0.004299057615254284,86.85661530167243,0.0836999769449912,0.8992,0.0042581097096786895,87.01350328172535,0.0946970078109815,5e3,0,0.25
500,0.8916,0.004397016573877132,87.38409399647648,0.060273639828491,0.8928,0.004375552661346729,87.41498557462265,0.07293443551325665,5e3,0,0.25
1e3,0.9014,0.004216534576256497,87.6016851076158,0.04163179322821424,0.9018,0.0042089066251219925,87.51613100216629,0.05844623843361072,5e3,0,0.25
2e3,0.8968,0.004302749670959977,87.6850167673335,0.029820586140636197,0.8986,0.004269338760357409,87.70902703328876,0.05118580640858979,5e3,0,0.25
