sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.8968,0.004302749670959977,0.31246794591799126,2.3669073745787204e-4,100,5e3,2,0.3
30,0.8898,0.004428895463092869,0.2611533831155316,1.2478255740506057e-4,100,5e3,2,0.3
50,0.8964,0.004310118725126367,0.2060961234552007,5.652515016061861e-5,100,5e3,2,0.3
100,0.8944,0.00434666615940772,0.14764035465740052,2.3453121766088786e-5,100,5e3,2,0.3
250,0.903,0.004185893493732034,0.09415295053473821,8.42569622236259e-6,100,5e3,2,0.3
500,0.9114,0.004019109185843244,0.06674344808425221,4.100206293837615e-6,100,5e3,2,0.3
1e3,0.8962,0.004313795749308647,0.04725645118859274,2.0497614909128607e-6,100,5e3,2,0.3
2e3,0.8964,0.004310118725126367,0.033437161046419576,1.0266903948673687e-6,100,5e3,2,0.3
