sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,scale,censoredp
20,0.8679,0.0033861638487469943,37.951430228961925,0.17979143193601657,1e4,0.25,0.5
30,0.8778,0.0032753303312609383,33.1967735911014,0.12404803029412827,1e4,0.25,0.5
50,0.8869,0.0031673083500376818,27.24426001691579,0.0754383541633617,1e4,0.25,0.5
100,0.8933,0.0030874689061470145,19.94002057112053,0.038147228617016096,1e4,0.25,0.5
250,0.9001,0.0029988161480539255,12.922020489345739,0.015321348462881168,1e4,0.25,0.5
500,0.8943,0.0030746863855744644,9.181356039312869,0.007815981865700296,1e4,0.25,0.5
1e3,0.8985,0.0030200475275576166,6.514889226370933,0.003864949014327227,1e4,0.25,0.5
2e3,0.8993,0.003009461195242193,4.614056623845398,0.001916287299368066,1e4,0.25,0.5
