sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,scale,censoredp
20,0.8782,0.003270710282885884,205.85208671870112,1.649172437775375,1e4,2,0
30,0.8855,0.0031843349382406193,156.2015837026411,0.9053163932907586,1e4,2,0
50,0.8944,0.0030734034198032128,115.83030772886892,0.4770204074927873,1e4,2,0
100,0.8995,0.003006805462265358,79.14563145522867,0.21915329539559342,1e4,2,0
250,0.8991,0.003012113258599062,49.48686422553253,0.08440836112982003,1e4,2,0
500,0.8967,0.003043655266901686,34.69965888459882,0.04166224311382845,1e4,2,0
1e3,0.9019,0.002974646844986013,24.513020504124512,0.02053607274146908,1e4,2,0
2e3,0.8997,0.0030041460499364765,17.288325683653984,0.010287548772458875,1e4,2,0
