sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,censoredp
20,0.9266,0.003688523965193714,0.24936143495893795,8.51714271063971e-4,100,5e3,0.3
30,0.919,0.0038588571048473828,0.21415618814779885,6.207200200404497e-4,100,5e3,0.3
50,0.908,0.004087852994962232,0.17287711267623643,3.9898541738930045e-4,100,5e3,0.3
100,0.9032,0.004182038963230495,0.1266127799385303,2.097039808865427e-4,100,5e3,0.3
250,0.899,0.004261857891405731,0.0817736972166993,8.540838635655949e-5,100,5e3,0.3
500,0.898,0.004280521530481371,0.05822944719028188,4.3983484558078905e-5,100,5e3,0.3
1e3,0.9024,0.004197424409603449,0.041354235593084016,2.164152262566779e-5,100,5e3,0.3
2e3,0.906,0.0041274940631633,0.02926887967022214,1.0801737340269008e-5,100,5e3,0.3
