sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.9564,0.002888161403948722,0.30165780073385384,8.115378320661795e-4,100,5e3,1,0.3
30,0.9426,0.0032898651404774187,0.24207573917472316,5.340563544987887e-4,100,5e3,1,0.3
50,0.9232,0.003766057439515168,0.19254803603892454,3.7977224350769985e-4,100,5e3,1,0.3
100,0.9076,0.004095827530625786,0.1415013142304663,1.883657934082024e-4,100,5e3,1,0.3
250,0.9024,0.004197424409603449,0.09165491912387644,7.369410777502205e-5,100,5e3,1,0.3
500,0.8964,0.004310118725126367,0.06536315236418991,3.6849349429099824e-5,100,5e3,1,0.3
1e3,0.8978,0.004284238898636269,0.046430057829946844,1.8031495888387465e-5,100,5e3,1,0.3
2e3,0.8934,0.004364756375749273,0.03290990903656863,9.07534769187317e-6,100,5e3,1,0.3
