sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,scale,censoredp
20,0.8838,0.003204806246609587,18.67422956804589,0.05750708410454541,1e4,0.25,0
30,0.8877,0.003157509776200017,15.782823213013252,0.03828218408980156,1e4,0.25,0
50,0.9006,0.002992132899108693,12.602456312548153,0.022607036552479087,1e4,0.25,0
100,0.8996,0.0030054762166300485,9.119723024705179,0.011455206775885017,1e4,0.25,0
250,0.9028,0.0029624472331774847,5.847096043817924,0.004614593659499744,1e4,0.25,0
500,0.9003,0.0029961456387947645,4.156299437071407,0.0022700350647435136,1e4,0.25,0
1e3,0.9039,0.0029474307005888157,2.94876154612919,0.001155635843238903,1e4,0.25,0
2e3,0.9011,0.002985426314117919,2.0881694985450086,5.769728257349498e-4,1e4,0.25,0
