sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp
20,0.8912,0.004404133431023139,138.99061640922713,0.43789399029730347,0.901,0.004224141175876435,146.30098570912853,0.4656214186812962,5e3,0
30,0.896,0.004317467788602611,147.5864248009579,0.387280813416315,0.9012,0.004220340537782582,152.4636753508462,0.40615103727666674,5e3,0
50,0.894,0.0043539167789777115,152.69480833486602,0.30561566450207434,0.8972,0.004295360523216285,155.65493614181844,0.32201075933744494,5e3,0
100,0.9076,0.004095827530625786,156.62001330686957,0.22167468158815778,0.9082,0.004083856948708598,157.91761308816746,0.2363979268986946,5e3,0
250,0.9028,0.00418974256829196,159.3043817994674,0.14201273337913475,0.9026,0.004193586201933449,159.61352799672733,0.15990357519674175,5e3,0
500,0.9034,0.0041781789616873975,159.9068573620582,0.10295034861147957,0.9024,0.004197424409603449,159.99384900019612,0.12714727817769722,5e3,0
1e3,0.8998,0.004246834011334085,160.30704924519458,0.07109632806846226,0.9,0.004243065014838216,160.1498407896605,0.10305610782029201,5e3,0
2e3,0.8986,0.004269338760357409,160.60726844764108,0.050521217676029295,0.8992,0.0042581097096786895,160.48488609291778,0.09084891185581098,5e3,0
