sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.8954,0.004328454123936235,0.11715967139346115,6.458587425587581e-4,100,5e3,0.25,0
30,0.8986,0.004269338760357409,0.10114594820277396,4.416073863280514e-4,100,5e3,0.25,0
50,0.904,0.00416656597864607,0.08359885113172742,2.7779213261791634e-4,100,5e3,0.25,0
100,0.8986,0.004269338760357409,0.06236535795572899,1.433500700092859e-4,100,5e3,0.25,0
250,0.8968,0.004302749670959977,0.04060273526454445,5.956269844278501e-5,100,5e3,0.25,0
500,0.9024,0.004197424409603449,0.029021495737016005,2.893867248053677e-5,100,5e3,0.25,0
1e3,0.9012,0.004220340537782582,0.02064182737372969,1.4705658459754143e-5,100,5e3,0.25,0
2e3,0.8956,0.0043247969632983635,0.01464706297624488,7.508685631149463e-6,100,5e3,0.25,0
