sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,p,censoredp,scale
20,0.8692,0.004768943338320641,31.076343162351606,0.16439482859532456,5e3,0.5,0.5,0.25
30,0.8802,0.004592799882658989,27.464230151933474,0.11327534461797807,5e3,0.5,0.5,0.25
50,0.8862,0.004491541694046474,22.409629195072515,0.07165276436837205,5e3,0.5,0.5,0.25
100,0.8928,0.004375552661346729,16.618387858522997,0.037196299834043045,5e3,0.5,0.5,0.25
250,0.8952,0.004332106350158756,10.714698155192703,0.014727705818844456,5e3,0.5,0.5,0.25
500,0.8934,0.004364756375749273,7.630435080048407,0.007568858311229433,5e3,0.5,0.5,0.25
1e3,0.8994,0.00425435634492245,5.422501972678434,0.0037716363535394335,5e3,0.5,0.5,0.25
2e3,0.9042,0.004162683940382395,3.844760602696788,0.0018795526021757113,5e3,0.5,0.5,0.25
