sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,censoredp
20,0.9037,0.002950169715479944,47.49252626869188,0.13973816277149315,1e4,0.3
30,0.9045,0.0029391901748421095,40.74650193267107,0.10053201857048542,1e4,0.3
50,0.9046,0.002937813315155929,32.879733650614924,0.06336955642807546,1e4,0.3
100,0.9015,0.0029800441383151743,23.712067051654497,0.03255496904421708,1e4,0.3
250,0.903,0.0029597256625572177,15.305266238549551,0.013434596487832448,1e4,0.3
500,0.898,0.003026634443008465,10.868943897840719,0.006822503852557376,1e4,0.3
1e3,0.896,0.003052758086254677,7.700863793283606,0.003449005426100846,1e4,0.3
2e3,0.9006,0.002992132899108693,5.451523491741614,0.0017049428051905558,1e4,0.3
