sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.9234,0.003761557903791023,0.3960576359197038,4.858050586361146e-4,100,5e3,2,0.5
30,0.9124,0.00399855545030175,0.33203703150654484,3.3553180236348026e-4,100,5e3,2,0.5
50,0.9072,0.004103778770845233,0.26336762942006625,1.8648902854875895e-4,100,5e3,2,0.5
100,0.9088,0.00407183348942379,0.18976114067000924,8.88219588478258e-5,100,5e3,2,0.5
250,0.9012,0.004220340537782582,0.12135366048391692,3.5630200743182354e-5,100,5e3,2,0.5
500,0.902,0.004205084606438907,0.08613938653104013,1.8003047194742133e-5,100,5e3,2,0.5
1e3,0.891,0.004407684827333667,0.061036549162110744,9.287071153164091e-6,100,5e3,2,0.5
2e3,0.9068,0.0041117068507671274,0.04319696021463909,4.630882603310043e-6,100,5e3,2,0.5
