sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,p,censoredp,scale
20,0.8826,0.004552756694432916,14.971274524038645,0.04773667531535853,5e3,0.5,0,0.25
30,0.8928,0.004375552661346729,12.881510655180128,0.03203920002576609,5e3,0.5,0,0.25
50,0.8882,0.004456918759071674,10.34530805851369,0.019915795698028406,5e3,0.5,0,0.25
100,0.9002,0.00423929077998472,7.539203026730424,0.010177939539149665,5e3,0.5,0,0.25
250,0.9004,0.004235511292770004,4.856469451314007,0.004177530016549652,5e3,0.5,0,0.25
500,0.8982,0.004276799060283333,3.456424381545428,0.00202054997098567,5e3,0.5,0,0.25
1e3,0.8934,0.004364756375749273,2.451398924007559,0.0010521086101974361,5e3,0.5,0,0.25
2e3,0.8918,0.004393451090258829,1.7358003407059783,5.213566809281311e-4,5e3,0.5,0,0.25
