sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,scale,censoredp
20,0.859,0.003480389534395699,8010.181397982813,3531.714779389777,1e4,2,0.5
30,0.8737,0.0033220377170434636,1133.232534003889,63.364245332952436,1e4,2,0.5
50,0.8781,0.003271866365081419,491.65039204081273,10.036445344746038,1e4,2,0.5
100,0.8925,0.0030976336990440534,245.76084051349474,2.033771800340466,1e4,2,0.5
250,0.8966,0.003044958321080555,130.25086106761012,0.5878820136103267,1e4,2,0.5
500,0.8936,0.003083643119021484,87.60469851254769,0.26781003435189876,1e4,2,0.5
1e3,0.8996,0.0030054762166300485,60.344654253670505,0.12692960895439076,1e4,2,0.5
2e3,0.8999,0.00300148294847547,42.19074603708745,0.061843465604789156,1e4,2,0.5
