sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,p,censoredp,scale
20,0.867,0.004802792246461691,89.33607872258584,0.7755457352696005,5e3,0.5,0.3,2
30,0.8686,0.0047782187345134135,71.99544488441612,0.5005746784760398,5e3,0.5,0.3,2
50,0.8896,0.004432414382642026,56.75197321753264,0.2988458392780292,5e3,0.5,0.3,2
100,0.8898,0.004428895463092869,39.64035465966115,0.1460794455342139,5e3,0.5,0.3,2
250,0.8978,0.004284238898636269,25.06153928923139,0.05752616710915423,5e3,0.5,0.3,2
500,0.8978,0.004284238898636269,17.740692253104665,0.028700156854611383,5e3,0.5,0.3,2
1e3,0.9036,0.004174313473925469,12.531033904975644,0.0142592357817012,5e3,0.5,0.3,2
2e3,0.908,0.004087852994962232,8.845544634406986,0.0070964806487490645,5e3,0.5,0.3,2
