sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp,scale
20,0.8134,0.0055101869688864834,72.38842795772207,0.4435798084397441,0.8536,0.004999840765618072,81.08079130538815,0.5002236052480611,5e3,0.5,0.25
30,0.8378,0.005213796000396136,77.33066601425284,0.3798943684370162,0.861,0.0048929120283961285,83.76203977186738,0.4173978378933509,5e3,0.5,0.25
50,0.8652,0.004830161290435167,81.48530195631069,0.30471528096442846,0.8788,0.004615882718901654,85.55780398261241,0.3243671619137584,5e3,0.5,0.25
100,0.8912,0.004404133431023139,84.83789521837949,0.21683788684105723,0.8964,0.004310118725126367,86.88349824365703,0.2257785616253342,5e3,0.5,0.25
250,0.894,0.0043539167789777115,87.07063553998134,0.14009345350486452,0.8954,0.004328454123936235,87.90187430869092,0.14752416953176029,5e3,0.5,0.25
500,0.8986,0.004269338760357409,87.12749486441444,0.0983555033736727,0.899,0.004261857891405731,87.47292456869563,0.10744566137163193,5e3,0.5,0.25
1e3,0.8968,0.004302749670959977,87.49774773021552,0.07030689346250164,0.898,0.004280521530481371,87.65840139850357,0.08145854943563338,5e3,0.5,0.25
2e3,0.9048,0.004151004476946938,87.76006160993677,0.05085519908722035,0.9036,0.004174313473925469,87.76219079610495,0.06572069465358446,5e3,0.5,0.25
