sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,censoredp
20,0.908,0.004087852994962232,0.19506682534991043,5.707768738993452e-4,100,5e3,0
30,0.9016,0.004212723276869903,0.16453790222119322,3.880634877315143e-4,100,5e3,0
50,0.9092,0.0040637882418963454,0.1306770723573619,2.2701379070756033e-4,100,5e3,0
100,0.9016,0.004212723276869903,0.09434505527539286,1.1579527413102619e-4,100,5e3,0
250,0.9048,0.004151004476946938,0.06050867520553021,4.5309834983206725e-5,100,5e3,0
500,0.902,0.004205084606438907,0.04298142818692181,2.2866324852160187e-5,100,5e3,0
1e3,0.9072,0.004103778770845232,0.03044901326858428,1.1286435382432914e-5,100,5e3,0
2e3,0.9014,0.004216534576256497,0.0215550778409873,5.591324471641858e-6,100,5e3,0
