sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp,scale
20,0.8632,0.0048602341893446924,136.90456232475788,0.5420460475016968,0.8726,0.004715749745176458,144.7270122169138,0.5914354248060809,5e3,0,1
30,0.8838,0.004532507112420766,144.55449041835044,0.4608198201983101,0.8916,0.004397016573877132,149.94999270874473,0.48965762250035416,5e3,0,1
50,0.8858,0.004498412958347507,151.3894855308144,0.36161370361798384,0.89,0.004425371937290319,154.67309240764286,0.3790465416826938,5e3,0,1
100,0.8934,0.004364756375749273,155.87514509566208,0.26063582290213116,0.8946,0.004343033546736384,157.42979572195887,0.2742693246683535,5e3,0,1
250,0.8996,0.004250597783406854,159.01271071097443,0.1687389204439061,0.9004,0.004235511292770004,159.48909039374632,0.18449982330009027,5e3,0,1
500,0.9062,0.004123555837205132,159.86174544319962,0.11806105862565504,0.904,0.00416656597864607,160.02606822880307,0.1406214346437927,5e3,0,1
1e3,0.9002,0.00423929077998472,160.35931639984457,0.0831850541023929,0.9,0.004243065014838216,160.23112651054996,0.11081965472292561,5e3,0,1
2e3,0.9,0.004243065014838216,160.5823683779985,0.05932076250610575,0.9,0.004243065014838216,160.38592192966573,0.09450134449212824,5e3,0,1
