sample_size,cov_prob,cov_prob_se,int_width,int_width_se,cov_prob_boot,cov_prob_boot_se,int_width_boot,int_width_boot_se,nSims,censoredp,scale
20,0.843,0.005145434393617297,128.86650457286265,0.752620488967736,0.8588,0.004925176491527439,140.14747520171983,0.851065142504822,5e3,0.3,1
30,0.8582,0.004933905216371391,138.37346088533369,0.6491844158990736,0.8684,0.004781303187629331,146.40926455125228,0.7064728105485976,5e3,0.3,1
50,0.877,0.004645268098090855,147.3006447095795,0.5340548553558816,0.883,0.004546023896401484,152.57711649974897,0.5658432595705931,5e3,0.3,1
100,0.8846,0.0045189215671912345,154.00498810519653,0.39879749758707805,0.887,0.004477746089497304,156.58727915495987,0.41276350522031147,5e3,0.3,1
250,0.8938,0.0043575348101793036,158.05988816447532,0.26258464809007465,0.896,0.004317467788602611,158.9976135837644,0.27602423049366537,5e3,0.3,1
500,0.889,0.004442943613145446,159.56481667542158,0.1830180542147104,0.8894,0.0044359287068998915,159.96412143835306,0.19954552519523552,5e3,0.3,1
1e3,0.898,0.004280521530481371,160.2740387535844,0.13342903368383777,0.8978,0.004284238898636269,160.51702732131275,0.1530862020620505,5e3,0.3,1
2e3,0.9014,0.004216534576256497,160.37795743424945,0.09380943824595324,0.9022,0.0042012572061732294,160.28919645692207,0.12009985028801931,5e3,0.3,1
