sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,p,censoredp,scale
20,0.8668,0.004805847608304579,133.56606204261274,1.7834498290298955,5e3,0.5,0.5,2
30,0.8786,0.004619163921649351,103.47734279499387,1.0461895991382713,5e3,0.5,0.5,2
50,0.891,0.004407684827333667,75.59010984453225,0.5419635443697277,5e3,0.5,0.5,2
100,0.8922,0.00438630595558349,50.980627989161135,0.24487567604363814,5e3,0.5,0.5,2
250,0.8878,0.0044638791698979365,31.654331105688012,0.09755318597816484,5e3,0.5,0.5,2
500,0.8978,0.004284238898636269,22.05986250579945,0.047569615549210506,5e3,0.5,0.5,2
1e3,0.8958,0.004321134855716523,15.566943330956983,0.02350604027564699,5e3,0.5,0.5,2
2e3,0.9,0.004243065014838216,10.979607532002676,0.01165482404406488,5e3,0.5,0.5,2
