sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,censoredp
20,0.919,0.0038588571048473828,0.4097013983498075,0.0015173359212548396,100,5e3,0.5
30,0.919,0.0038588571048473828,0.3381894788161995,0.0012042314298253431,100,5e3,0.5
50,0.913,0.003986148250576628,0.2668167983111231,8.404944945901699e-4,100,5e3,0.5
100,0.9054,0.004139274660969454,0.1917754337761779,4.8658625594995427e-4,100,5e3,0.5
250,0.9044,0.004158796354406342,0.12268114150225619,2.0591978675628655e-4,100,5e3,0.5
500,0.8966,0.004306436703286823,0.08683920324143,1.1021549757249891e-4,100,5e3,0.5
1e3,0.9,0.004243065014838216,0.06164999554203673,5.4180269647905966e-5,100,5e3,0.5
2e3,0.9048,0.004151004476946938,0.04361082975097592,2.7366397201961553e-5,100,5e3,0.5
