sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.8764,0.004654991062113618,0.13801872006808685,9.553365528304782e-4,100,5e3,0.25,0.3
30,0.8934,0.004364756375749273,0.12487287891464265,6.954718874277858e-4,100,5e3,0.25,0.3
50,0.8972,0.004295360523216285,0.10548441694238052,4.539375949403326e-4,100,5e3,0.25,0.3
100,0.8994,0.00425435634492245,0.07967346440759637,2.4095176724028155e-4,100,5e3,0.25,0.3
250,0.8934,0.004364756375749273,0.05255433538129548,1.0244871703570018e-4,100,5e3,0.25,0.3
500,0.9066,0.004115662247457513,0.0376125776292684,5.0499681826760855e-5,100,5e3,0.25,0.3
1e3,0.8966,0.004306436703286823,0.02684737177220591,2.6099410625412442e-5,100,5e3,0.25,0.3
2e3,0.8964,0.004310118725126367,0.01904700993144912,1.299170877397015e-5,100,5e3,0.25,0.3
