sample_size,cov_prob,cov_prob_se,int_width,int_width_se,q,nSims,scale,censoredp
20,0.8918,0.004393451090258829,0.24014631515271903,0.0019244204499393673,100,5e3,0.25,0.5
30,0.8934,0.004364756375749273,0.21160746787498894,0.0014787404573920952,100,5e3,0.25,0.5
50,0.9046,0.004154903205145557,0.17072313108399204,9.909002929496186e-4,100,5e3,0.25,0.5
100,0.8956,0.0043247969632983635,0.12470349559975966,5.672809610671928e-4,100,5e3,0.25,0.5
250,0.8982,0.004276799060283333,0.08003986073186746,2.4269722529196997e-4,100,5e3,0.25,0.5
500,0.8974,0.004291658381830183,0.056815175615925084,1.2431106898870632e-4,100,5e3,0.25,0.5
1e3,0.901,0.004224141175876435,0.040157493533359505,6.200184742797441e-5,100,5e3,0.25,0.5
2e3,0.8974,0.004291658381830183,0.028464713644480923,3.1583963377108995e-5,100,5e3,0.25,0.5
