sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,scale,censoredp
20,0.8637,0.0034312400587592357,22.276945076814908,0.08157098043611967,1e4,0.25,0.3
30,0.8765,0.0032902670994553883,19.63884110770998,0.05583685067639748,1e4,0.25,0.3
50,0.8916,0.0031090047589315633,16.1437545890652,0.03513323954575659,1e4,0.25,0.3
100,0.8974,0.003034508992321896,11.943737305419043,0.01788172824666374,1e4,0.25,0.3
250,0.8953,0.0030618178379595486,7.766532114514601,0.007392599932210503,1e4,0.25,0.3
500,0.8987,0.003017406415143213,5.524735188403803,0.0036722219286036456,1e4,0.25,0.3
1e3,0.9004,0.0029948089902510993,3.9313816663934205,0.001839665745121373,1e4,0.25,0.3
2e3,0.9029,0.002961086929419729,2.7844600812006366,9.311840081694364e-4,1e4,0.25,0.3
