sample_size,cov_prob,cov_prob_se,int_width,int_width_se,nSims,scale,censoredp
20,0.8842,0.0032000093759238578,2673.1344674868087,72.97446980965904,1e4,2,0
30,0.8841,0.0032012097360806335,1440.125815183605,20.136623826600005,1e4,2,0
50,0.8938,0.0030810883321532754,866.7907035156614,7.07638312503564,1e4,2,0
100,0.8983,0.003022685008806946,525.2700149245566,2.640365877595217,1e4,2,0
250,0.8979,0.0030279491157522375,306.35972236758215,0.9142623058318545,1e4,2,0
500,0.9012,0.002984082182958014,210.3910042680201,0.4285022182459874,1e4,2,0
1e3,0.9011,0.002985426314117919,147.49581402062577,0.21220962457839834,1e4,2,0
2e3,0.8979,0.0030279491157522375,103.35995200529791,0.10415009301335904,1e4,2,0
